,Invoice_#,Clerk,SKU,Name,Quantity,Net_Price,Total_Sale,COGS,Profit,Margin,Tender
82,00832B,06,80916,OM GEL STAIN FRUITWOOD 2,1.0,22.99,22.99,13.16,9.83,42.8,Mastercard
83,00832B,06,WARNING,READ LABEL:______,1.0,0.0,0.0,0.0,0.0, 0.0,Mastercard
84,00839B,23,1630722,TREMCLAD BLACK GLOSS AER,1.0,19.99,19.99,10.48,9.51,47.6,Visa
85,00841B,06,203029, INVERTED MARKING PAINT R,1.0,13.99,13.99,5.97,8.02,57.3,"CHA-1243
"
86,00841B,06,SSP20969, INVERTED MARKING PAINT B,1.0,13.99,13.99,1.58,12.41,88.7,"CHA-1243
"
87,00843B,23,AG662603, DYNAMIC DUAL ANGLE SPONG,1.0,4.491,4.49,2.11,2.38,53.0,Visa
88,00860B,06,00382,9'X12' 1 MIL PLASTIC DRO,1.0,4.99,4.99,1.39,3.6,72.1,"CHA-0090
"
89,00871B,06,9913W-25," NOBLE BRUSH 2-1/2""",2.0,20.99,41.98,22.78,19.2,45.7,"CHA-1243
"
90,00871B,06,9913W-3,"NOBLE BRUSH 3""",1.0,28.99,28.99,15.0,13.99,48.3,"CHA-1243
"
91,00871B,06,HM005306," 6"" FOAM ROLLER REFILLS 2",2.0,5.29,10.58,5.28,5.3,50.1,"CHA-1243
"
92,01038B,06,256184, COVER STAIN SEALER 1GAL,1.0,69.99,69.99,51.95,18.04,25.8,"CHA-JUDITHS
"
93,01038B,06,AG662603, DYNAMIC DUAL ANGLE SPONG,1.0,4.99,4.99,2.11,2.88,57.7,"CHA-JUDITHS
"
94,90230B,23,KILZ13, KILZ ORIGINAL PRIMER AER,2.0,9.99,19.98,12.24,7.74,38.7,"CHA-NATURAL
"
95,90292B,06,SSP20976, INVERTED MARKING PAINT Y,1.0,13.99,13.99,6.77,7.22,51.6,"CHA-492
"
96,90292B,06,452016, COLORMAXX EMERALD GREEN,2.0,16.99,33.98,18.02,15.96,47.0,"CHA-492
"
97,90338A,41,0504060,INT VARATHANE GLOSS W/B,1.0,19.791,19.79,12.6,7.19,36.3,Debit
98,90347A,58,1500/1, SANSIN ENVIRO STAIN 0 BA,3.0,58.48,175.44,175.44,0.0, 0.0,"CHA-DUNBAR
"
99,90347A,58,00382,9'X12' 1 MIL PLASTIC DRO,2.0,1.39,2.78,2.78,0.0, 0.0,"CHA-DUNBAR
"
100,90350B,98,EB200010, COVER STAIN SEALER SPRAY,1.0,14.99,14.99,9.23,5.76,38.4,"CHA-1063
"
101,90368B,41,00021,"1/2"" ECONO PAINT BRUSH",1.0,1.701,1.7,0.91,0.79,46.5,Visa
102,90436A,41,670004," 1 1/2"" ABS PIPE BY THE F",1.0,2.09,2.09,1.04,1.05,50.2,Debit
103,90547B,06,670004," 1 1/2"" ABS PIPE BY THE F",12.0,1.69,20.28,12.48,7.8,38.5,Visa
104,90601B,23,HZ020450, ENVIRO TRAY LINER DYNAMI,1.0,3.39,3.39,1.27,2.12,62.5,Visa
105,90686B,23,AG662603, DYNAMIC DUAL ANGLE SPONG,1.0,4.99,4.99,1.9,3.09,61.9,"CHA-699
"
106,90701B,23,AG662605, DYNAMIC DUAL ANGLE SPONG,3.0,4.99,14.97,5.64,9.33,62.3,Debit
107,90828B,06,HB021744, REGULAR WIRE ROLLER CAGE,1.0,4.99,4.99,1.46,3.53,70.7,"CHA-0392
"
108,90828B,06,Z4U05-2SS,"NOUR 4"" SIGNATURE FABRIC",1.0,3.99,3.99,1.49,2.5,62.7,"CHA-0392
"
109,90828B,06,HB021797, LINT FREE ROLLER 13MM 24,1.0,4.49,4.49,1.57,2.92,65.0,"CHA-0392
"
110,90828B,06,HZ020450, ENVIRO TRAY LINER DYNAMI,1.0,3.39,3.39,1.27,2.12,62.5,"CHA-0392
"
111,90875B,41,K41502, COLORMAXX WHITE FLAT 340,2.0,16.99,33.98,17.64,16.34,48.1,"CHA-61
"
