        
  Feb 22, 2023                                   For Dept Code "*" -
                                From the beginning of Mar 2022 to the end of Mar 2022
                                      For customers "CASH" to "CASH" (inclusive)
                                                  Store Number: 001
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 Cust #  Name                        Phone
         Date         Invoice  Item Number       Description                              Qty                   Net
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 Cash Cu                                                                                       T o t a l 132,369.00
         0                     GLUES ADHESIVES   527.14
         03/19/2022   59182B   AG662603          DYNAMIC DUAL ANGLE SPONGE MEDIU        1.000  EACH            3.59
         03/31/2022   63991B   AG662603          DYNAMIC DUAL ANGLE SPONGE MEDIU        1.000  EACH            3.99
         03/04/2022   53698A   AG662605          DYNAMIC DUAL ANGLE SPONGE MEDIU        1.000  EACH            3.89
         03/14/2022   57316B   C81804            AMERICAN WALNUT STAIN OLD MASTE        1.000  EACH           34.19
         03/05/2022   54030B   C84404            ESPRESSO STAIN OLD MASTERS 946M        1.000  EACH           42.99
         03/07/2022   54556A   CB405020          PENETRATING STAIN PROVINCIAL           1.000  EACH           11.99
         03/05/2022   54016B   DCX045060B01F     GRINDING & POLISHING FLAP DISC         1.000  EACH           11.99
         03/24/2022   60906A   EB200010          COVER STAIN SEALER SPRAY               1.000  EACH           12.99
         03/24/2022   61207A   EB200010          COVER STAIN SEALER SPRAY               2.000  EACH           25.98
         03/03/2022   53201B   EF1C              DANGER OF COMBUSTION - READ LAB        1.000  EACH            0.20
         03/07/2022   54556A   EF1C              DANGER OF COMBUSTION - READ LAB        1.000  EACH            0.20
         03/08/2022   54685A   EF1C              DANGER OF COMBUSTION - READ LAB        3.000  EACH            0.60
         03/05/2022   54030B   EF2C              ECO FEE PAINT PRODUCTS                 1.000  EACH            0.35
         03/07/2022   54470B   GF180200          DYNAMIC CHOMP DEGREASER                1.000  EACH            9.29
         03/19/2022   59344A   GF180200          DYNAMIC CHOMP DEGREASER                1.000  EACH            9.29
         03/28/2022   62412B   GF180200          DYNAMIC CHOMP DEGREASER                1.000  EACH            9.29
         03/02/2022   52563B   HB001757          DYNAMIC MINI ROLLER & TRAY             1.000  EACH            4.29
         03/19/2022   59173B   HB001757          DYNAMIC MINI ROLLER & TRAY             1.000  EACH            3.86
         03/02/2022   52760B   HB011742          4 WIRE ROLLER CAGE SMALL               1.000  EACH            3.59
         03/30/2022   63344B   HB021702          10MM MULTI-PURPOSE ROLLER KIT 5        1.000  EACH           17.09
         03/02/2022   52574A   HB021740          PRO ROLLER CAGE FRAME 240MM            1.000  EACH            5.49
         03/03/2022   53057B   HB021740          PRO ROLLER CAGE FRAME 240MM            1.000  EACH            4.94
         03/07/2022   54239A   HB021743          WOOD HANDLE ROLLER CAGE                1.000  EACH           11.59
         03/02/2022   52361A   HB021744          REGULAR WIRE ROLLER CAGE               1.000  EACH            3.59
         03/11/2022   56226B   HB021796          LINT FREE ROLLER 10MM X 240MM          1.000  EACH            3.86
         03/29/2022   63194B   HB021796          LINT FREE ROLLER 10MM X 240MM          1.000  EACH            4.29
         03/22/2022   60125A   HB021842          10MM LINTFREE ROLLER KIT 4PC           1.000  EACH           12.99
         03/04/2022   53296B   HB160005          SCOUT BRISTLE 2" BRUSH                 1.000  EACH            2.33
         03/15/2022   57438B   HB160007          SCOUT BRISTLE 3" BRUSH                 2.000  EACH            8.58
         03/16/2022   58282B   HB199103          SOLOMON BRUSH 1-1/2"                   1.000  EACH            5.69
         03/22/2022   60362A   HB199103          SOLOMON BRUSH 1-1/2"                   1.000  EACH            5.12
