        
  Feb 22, 2023                                   For Dept Code "*" -
                                From the beginning of May 2022 to the end of May 2022
                                      For customers "CASH" to "CASH" (inclusive)
                                                  Store Number: 001
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 Cust #  Name                        Phone
         Date         Invoice  Item Number       Description                              Qty                   Net
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 Cash Cu                                                                                       T o t a l 170,600.46
                               UNKNOWN DEPT      69.48
         05/24/2022   86256B   HB189003          SOVEREIGN BRUSH 1"                     1.000  EACH            5.39
         05/09/2022   79648B   HB189006          SOVEREIGN BRUSH 2-1/2"                 1.000  EACH           12.29
         05/03/2022   77161A   HB199103          SOLOMON BRUSH 1-1/2"                   1.000  EACH            5.12
         05/11/2022   80757B   HB285005          HIGH DENSITY FOAM BRUSH 2"             3.000  EACH            3.48
         05/24/2022   86379B   HB285005          HIGH DENSITY FOAM BRUSH 2"             1.000  EACH            1.16
         05/28/2022   88339A   HB461716          TRIM ROLLER 75MM X 5MM                 1.000  EACH            1.00
         05/28/2022   88343A   HB461759          4" ROLLER CAGE 00284                   1.000  EACH            1.26
         05/10/2022   80371B   HB461793          4" 1/4NAP LINT FREE ROLLER REFI        1.000  EACH            3.99
         05/13/2022   81995B   HB461793          4" 1/4NAP LINT FREE ROLLER REFI        1.000  EACH            3.99
         05/07/2022   79192B   HM005305          4" FOAM ROLLER REFILL 2PK              1.000  EACH            3.59
         05/07/2022   79192B   HM005309          4" Y/S TRIM ROLLER REFILL 2PK          1.000  EACH            4.49
         05/31/2022   89351A   HM005309          4" Y/S TRIM ROLLER REFILL 2PK          1.000  EACH            4.99
         05/30/2022   89119A   HM005701          4" MICROFIBRE REFILL 2PK               1.000  EACH            4.04
         05/20/2022   85019B   HZ000100          GRID FOR 1GAL BUCKET                   1.000  EACH            2.15
         05/03/2022   77161A   HZ020440          DYNAMIC MINI ROLLER TRAY               1.000  EACH            2.69
         05/10/2022   80371B   HZ020440          DYNAMIC MINI ROLLER TRAY               1.000  EACH            2.99
         05/13/2022   81664B   HZ020440          DYNAMIC MINI ROLLER TRAY               1.000  EACH            2.99
